work_id,record_id,preferred_record_id,is_preferred_manifestation,dedup_rule,dedup_confidence,candidate_similarity,dedup_evidence_json,preferred_manifestation_rationale,source_group_ids_json
WORK-52F1C291DA3C97EE,REC-082721F13E9FFC71,REC-082721F13E9FFC71,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1209.0732"",""title_sha256:b9906faf8b7b4719""]"
WORK-6680DFD3B945B3E9,REC-42EE9703F04DEB01,REC-42EE9703F04DEB01,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.5121/vlsic.2012.3402"",""arxiv:1209.3061"",""title_sha256:76c8f82d7a56ec4e""]"
WORK-5A128B19817AD461,REC-ADAAD71114348F43,REC-ADAAD71114348F43,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.5121/sipij.2013.4204"",""arxiv:1305.3251"",""title_sha256:8e6049f8feeb2475""]"
WORK-8EC1F46929A24CE3,REC-BA343A3251B11D61,REC-BA343A3251B11D61,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1364/josaa.31.001259"",""arxiv:1307.8019"",""title_sha256:e1d3aafba46966d9""]"
WORK-46BBD6616D6EA0B8,REC-8B22D9D0AE96DE69,REC-8B22D9D0AE96DE69,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1309.7843"",""title_sha256:9a51990ca2c9cd04""]"
WORK-79264B9AF0A38F19,REC-D0A5C080D9A7A8BB,REC-D0A5C080D9A7A8BB,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1401.8288"",""title_sha256:8df45550b5a03457""]"
WORK-3849E7C749FEF405,REC-74F02CC1F5FFC6ED,REC-74F02CC1F5FFC6ED,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1402.6005"",""title_sha256:cd9c166d6426aeae""]"
WORK-57D4B07D624064E0,REC-F7672CF25143AE27,REC-F7672CF25143AE27,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1404.3877"",""title_sha256:aaa2d7003cbef659""]"
WORK-9F7D0F2D78673D79,REC-268040C167BF9193,REC-268040C167BF9193,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1049/el.2013.1352"",""arxiv:1405.0413"",""title_sha256:23aa46f57208f06b""]"
WORK-4B8CC808C6CC35BD,REC-3C23A5B385B56748,REC-3C23A5B385B56748,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""arxiv:1405.6166"",""title_sha256:2ae2ede4f062e032""]"
WORK-47F5AF2465AD25BB,REC-789E8FCA8135E770,REC-789E8FCA8135E770,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1406.1918"",""title_sha256:c53b4469cb5c0090""]"
WORK-6847448131A463AA,REC-C494916B77FB32D3,REC-C494916B77FB32D3,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1117/12.2054950"",""arxiv:1406.2288"",""title_sha256:02735713bccd7bad""]"
WORK-F9A4BEBEFED188E3,REC-B995D93FB5904453,REC-B995D93FB5904453,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1407.0506"",""title_sha256:7a1663a9929f8f68""]"
WORK-D62F8876E46F4353,REC-0FD00811878FA3A4,REC-0FD00811878FA3A4,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1408.5401"",""title_sha256:d2a35aa7d15a28b5""]"
WORK-89693455549AB256,REC-EB5B8D6B828622FE,REC-EB5B8D6B828622FE,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1411.0863"",""title_sha256:5684355192b3ec60""]"
WORK-D55096E28E99EC3D,REC-CF808A2F7D6515B3,REC-CF808A2F7D6515B3,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/tcsi.2013.2295022"",""arxiv:1501.02995"",""title_sha256:f21201fd29448a76""]"
WORK-3547521F1681096D,REC-3DCB691A456F4283,REC-3DCB691A456F4283,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/lsp.2015.2389899"",""arxiv:1502.00555"",""title_sha256:167bbbbb2a094348""]"
WORK-644D0D827AFACE07,REC-1CDB61F0CD5CAEB4,REC-1CDB61F0CD5CAEB4,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/tcsvt.2011.2181232"",""arxiv:1502.04221"",""title_sha256:1d3a2026844d9d4e""]"
WORK-5CEE079FDD5A3B70,REC-D30DB4EA311A5217,REC-D30DB4EA311A5217,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1502.07055"",""title_sha256:ef2d2d5ecc51bfbe""]"
WORK-1CD43D6EBFE7E2F2,REC-F4379DB7478366EF,REC-F4379DB7478366EF,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1504.05372"",""title_sha256:d2a43eeb9d94bf9d""]"
WORK-E11CCBCA0B95FDBC,REC-24BB9609714294BE,REC-24BB9609714294BE,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1504.06779"",""title_sha256:f5e716277f05dbbd""]"
WORK-5364CB92405D533B,REC-F73FEC8CDF1AD512,REC-F73FEC8CDF1AD512,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1505.01120"",""title_sha256:f375d12411785eea""]"
WORK-A2765C794787B27C,REC-7D9A3E658DD7EEE6,REC-7D9A3E658DD7EEE6,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1508.06811"",""title_sha256:ea341e2988f61d7b""]"
WORK-41C446CC1756DE0B,REC-6D2573B50D47CD83,REC-6D2573B50D47CD83,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1509.04268"",""title_sha256:b0de5325793c0c2d""]"
WORK-F3C7C8C0328E3066,REC-97877AF2A5AE0C14,REC-97877AF2A5AE0C14,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1511.05552"",""title_sha256:4b4a09ace231affd""]"
WORK-E284C7E0D2F51197,REC-88F29B4B825641C8,REC-88F29B4B825641C8,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1602.02517"",""title_sha256:13da6e4967e377d4""]"
WORK-39F2EC446141DDC2,REC-9A045A7D0B1DE0CE,REC-9A045A7D0B1DE0CE,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1602.07620"",""title_sha256:fcf2878a63316f94""]"
WORK-91485AB36E2CC985,REC-65A934FBB91EDDC4,REC-65A934FBB91EDDC4,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/fpt.2015.7393157"",""arxiv:1603.05154"",""title_sha256:4ea9aa0c739bd079""]"
WORK-85D86140967BBC98,REC-FA096E95A0E3F88E,REC-FA096E95A0E3F88E,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1007/s11045-014-0291-6"",""arxiv:1606.05562"",""title_sha256:65e50f9704bed48e""]"
WORK-EC3A1DDA4B8AD17B,REC-CCE2E4EFAFB5F4F8,REC-CCE2E4EFAFB5F4F8,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1606.06451"",""title_sha256:4897c9781d5059dd""]"
WORK-0D9869A0E3DDBEEE,REC-DCFC6B023D9EF9F8,REC-DCFC6B023D9EF9F8,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1007/s11760-016-0923-4"",""arxiv:1606.07414"",""title_sha256:0439f475ee5bf8a6""]"
WORK-F65CA2011450E578,REC-24048AD2630EDCFD,REC-24048AD2630EDCFD,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1016/j.sysarc.2017.01.005"",""arxiv:1607.04549"",""title_sha256:fd75d7cdac83c4df""]"
WORK-03251B78F491CCFF,REC-366778764662CFF9,REC-366778764662CFF9,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1607.04663"",""title_sha256:d7042b0e24e5502c""]"
WORK-B7D7F41F7493E435,REC-975D4F11BDBF4844,REC-975D4F11BDBF4844,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/tcsvt.2016.2515378"",""arxiv:1609.07630"",""title_sha256:08e8c86889b075e4""]"
WORK-800C388CA26F9C9D,REC-1CE9180A227DA1D1,REC-1CE9180A227DA1D1,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1609.07750"",""title_sha256:1b9faae09cc6bdd2""]"
WORK-62CB49C624CDF206,REC-91117B7563F9179D,REC-91117B7563F9179D,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1609.08192"",""title_sha256:bb32cbb0e0e79c4b""]"
WORK-DA4C6FC4C827F66E,REC-3DC05E88182B3C4E,REC-3DC05E88182B3C4E,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1610.00552"",""title_sha256:07c7a16d330bb4dd""]"
WORK-E258A97C5BBB6BAA,REC-88300383F39A1E30,REC-88300383F39A1E30,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1007/s00034-015-0233-z"",""arxiv:1612.00807"",""title_sha256:335beb18bf4cf1bf""]"
WORK-D753040CEE84934B,REC-B4570AD5B3B50DDC,REC-B4570AD5B3B50DDC,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/tpds.2018.2803820"",""arxiv:1612.04470"",""title_sha256:bf39bdbd3dd89934""]"
WORK-12F868132D84C877,REC-F88C6066A8140556,REC-F88C6066A8140556,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1701.03534"",""title_sha256:0736f7a6bdc11e2a""]"
WORK-D02DA0E7FF39EC9C,REC-7E30A752F924F93D,REC-7E30A752F924F93D,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1088/0957-0233/23/11/114010"",""arxiv:1702.01805"",""title_sha256:029e453585e1cbc6""]"
WORK-769AF53322C4EFB1,REC-22B8F133078A7448,REC-22B8F133078A7448,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1705.04543"",""title_sha256:e2e8431ad766aaa4""]"
WORK-8DD6558656ACBA05,REC-3D12045BD8FEDC90,REC-3D12045BD8FEDC90,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1049/iet-smt.2017.0214"",""arxiv:1705.09893"",""title_sha256:29f11a2abfcbccb7""]"
WORK-F9C3FAB92E404FF2,REC-805602F7D1C60B60,REC-805602F7D1C60B60,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1186/s40623-017-0681-8"",""arxiv:1706.08863"",""title_sha256:3ca9f28a6d4a3273""]"
WORK-3CDFC4FB79A17CE0,REC-49F3AB6C20566E0A,REC-49F3AB6C20566E0A,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1708.06301"",""title_sha256:1fb9504deed08d01""]"
WORK-E1E002D440E358CD,REC-C174DDF6D468F0A5,REC-C174DDF6D468F0A5,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1145/3123939.3124552"",""arxiv:1708.08917"",""title_sha256:c6c85c30fe114b53""]"
WORK-E487237F3935193E,REC-6B8F0EBD4ABBF3A2,REC-6B8F0EBD4ABBF3A2,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1017/pasa.2017.39"",""arxiv:1708.09619"",""title_sha256:2687e10e8db7e3a6""]"
WORK-5375E0878CA96251,REC-0328D92B8D7AB525,REC-0328D92B8D7AB525,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1051/epjconf/201715000014"",""arxiv:1709.00612"",""title_sha256:e40b47bad511f907""]"
WORK-371252DF9447C812,REC-380484F40BC5E6D9,REC-380484F40BC5E6D9,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/tcsvt.2013.2270397"",""arxiv:1710.09975"",""title_sha256:da45216dfd9f95ae""]"
WORK-F9B522EB29EE29BE,REC-71655A79D4851161,REC-71655A79D4851161,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1710.10296"",""title_sha256:92c1c9e457ddffaf""]"
WORK-3B88C583AF93E270,REC-BB06084936167C6D,REC-BB06084936167C6D,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/tc.2014.2366732"",""arxiv:1710.11200"",""title_sha256:f6c2e2046cfac34e""]"
WORK-9BB87D81581CB10A,REC-3570BA8F2CBFC43F,REC-3570BA8F2CBFC43F,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1711.04471"",""title_sha256:9fa13ff44c825308""]"
WORK-C4538805C17BB756,REC-794B4806F5632532,REC-794B4806F5632532,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1145/3174243.3174270"",""arxiv:1711.06613"",""title_sha256:417699026939ee16""]"
WORK-E7D5B9C603AB1C6E,REC-193C307FD04D33A3,REC-193C307FD04D33A3,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1711.08740"",""title_sha256:ffec41008982debe""]"
WORK-8FBAE8318B23CB6D,REC-ACAB157CC9F0D857,REC-ACAB157CC9F0D857,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1712.03411"",""title_sha256:365a4e4959bd65d4""]"
WORK-674CDDB57508D5CE,REC-0E5CD4ABE22322D8,REC-0E5CD4ABE22322D8,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/les.2017.2743247"",""arxiv:1712.04322"",""title_sha256:50bb1e7f430ce7ae""]"
WORK-6224C75A0641DA91,REC-14F5886A00FF13FD,REC-14F5886A00FF13FD,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/reconfig.2017.8279799"",""arxiv:1801.06541"",""title_sha256:ed65e72891b2eed2""]"
WORK-8BB80F97035C469D,REC-478BAE4ECE99CA8F,REC-478BAE4ECE99CA8F,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1803.00419"",""title_sha256:08e312b0fc0afe86""]"
WORK-5D851E6C82923FAD,REC-2A1F549319EB2EEB,REC-2A1F549319EB2EEB,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1803.00521"",""title_sha256:bdd980aecbab9eb4""]"
WORK-08C70DB9C38C8FD7,REC-1C2BC4282AF1A5AD,REC-1C2BC4282AF1A5AD,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""arxiv:1803.05468"",""title_sha256:81e2cba3f884ef41""]"
WORK-F21D14E4841D374F,REC-DF772EB64BB5C76B,REC-DF772EB64BB5C76B,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1803.06305"",""title_sha256:5927efc36e0ce211""]"
WORK-EC7BEE73D212E888,REC-38831414C8CA227A,REC-38831414C8CA227A,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1803.09004"",""title_sha256:bc26d97bb75dbd12""]"
WORK-EFDC36E8E07E67A9,REC-95E67C186BC2B316,REC-95E67C186BC2B316,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1805.02094"",""title_sha256:4e373a26e6025735""]"
WORK-F9CDE7DDB4928808,REC-35A5F4E0194903D4,REC-35A5F4E0194903D4,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1806.04570"",""title_sha256:b5c2912bb70b6b4c""]"
WORK-0201D83E77165AFC,REC-F6A6EB8FD7251DAD,REC-F6A6EB8FD7251DAD,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/smelec.2012.6417188"",""arxiv:1806.04573"",""title_sha256:5addf7f6533391ca""]"
WORK-6756FCE43DDDDD4E,REC-49F671D93D450AD9,REC-49F671D93D450AD9,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.3844/ajeassp.2010.757.764"",""arxiv:1808.02521"",""title_sha256:4b66cc6659fe4000""]"
WORK-738531F1F70DB91B,REC-FEAE1D67589AD270,REC-FEAE1D67589AD270,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""arxiv:1808.02940"",""title_sha256:79027197c06fbf91""]"
WORK-2F75271994F66A4D,REC-AAFC038BCBE50BB1,REC-AAFC038BCBE50BB1,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1007/s11045-018-0601-5"",""arxiv:1808.02950"",""title_sha256:33608ebe2c694dfe""]"
WORK-D5404F8A3F0997BC,REC-D88E8214DB7BBA3E,REC-D88E8214DB7BBA3E,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1016/j.nima.2019.05.018"",""arxiv:1809.01467"",""title_sha256:1323ffda26e3ad7a""]"
WORK-E9663AF082809625,REC-ED59B1D5F5C32113,REC-ED59B1D5F5C32113,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1809.07592"",""title_sha256:18ef29a441fb2257""]"
WORK-C124167E5ADD090E,REC-D65706651462F659,REC-D65706651462F659,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1145/3195970.3195999"",""arxiv:1809.07683"",""title_sha256:f0161a78f6493199""]"
WORK-CE3FAC9B774DAD2C,REC-34D6BAEDB792D06C,REC-34D6BAEDB792D06C,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1809.11156"",""title_sha256:413af16974bd9038""]"
WORK-785C4B5852654ECE,REC-BDF6D5B4373DE47A,REC-BDF6D5B4373DE47A,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""arxiv:1810.06885"",""title_sha256:0e11cc5e92ec99de""]"
WORK-7FE07F4E47A7A7B4,REC-36F0A271EFF0199A,REC-36F0A271EFF0199A,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1811.10126"",""title_sha256:c4e1d9df1f583093""]"
WORK-D411F849602DDB4C,REC-6FF78E8941C82A36,REC-6FF78E8941C82A36,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1901.00416"",""title_sha256:dd7070324747f3f5""]"
WORK-F7BB1C315C9513CA,REC-89287D342E6CE922,REC-89287D342E6CE922,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1902.07463"",""title_sha256:4bffb422dbaf18f4""]"
WORK-1188F93214A494F8,REC-A47AFFCD278380DB,REC-A47AFFCD278380DB,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1902.10345"",""title_sha256:0a4cdade595338f0""]"
WORK-D59919A50C3DD5A9,REC-D0099014D837A521,REC-D0099014D837A521,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1903.03509"",""title_sha256:94e973a83add5fcd""]"
WORK-3ECE0F2C6A3F5BF4,REC-D97053B95AB833E6,REC-D97053B95AB833E6,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1903.09918"",""title_sha256:1c3211ee34cf4589""]"
WORK-7B6195262F8A7AED,REC-F8D486FD316535AD,REC-F8D486FD316535AD,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1007/3-540-46117-5_111"",""arxiv:1904.12609"",""title_sha256:82c33a19461b2468""]"
WORK-57186C588B1F789D,REC-3D1B48A36A1C29EF,REC-3D1B48A36A1C29EF,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/ijcnn48605.2020.9206968"",""arxiv:1905.10830"",""title_sha256:e7f43aff0ccff668""]"
WORK-084846F91CFBBCB6,REC-77F2744384901A06,REC-77F2744384901A06,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/dsd.2016.24"",""arxiv:1907.07764"",""title_sha256:61004a1280aa127a""]"
WORK-BC85ABC7C414B1AD,REC-714959A473E278C1,REC-714959A473E278C1,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/sc41405.2020.00063"",""arxiv:1907.07929"",""title_sha256:edde1bf003a9a2ee""]"
WORK-AFCBBEE221055F7F,REC-AA3630B18BB5F5C6,REC-AA3630B18BB5F5C6,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:1911.04378"",""title_sha256:e3dc4fb60d69518d""]"
WORK-1AD08F6ABA5AA02A,REC-E1A7182426E47166,REC-E1A7182426E47166,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/iccad45719.2019.8942122"",""arxiv:2002.04971"",""title_sha256:c2bb6984c83bb233""]"
WORK-F231018418A0D14D,REC-B899DAA9C0C71D45,REC-B899DAA9C0C71D45,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2002.05645"",""title_sha256:41336821c81ff05a""]"
WORK-8D3BF536FE4FF52F,REC-798CD52628A50AD6,REC-798CD52628A50AD6,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2003.06700"",""title_sha256:098bad52d2028761""]"
WORK-E84F7DA2868C3591,REC-8CEEE39C1C03B3AE,REC-8CEEE39C1C03B3AE,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/sc41405.2020.00084"",""arxiv:2004.10811"",""title_sha256:4159d75f94e02473""]"
WORK-5FEF07863B102C3E,REC-FA1D60BEAE9A18AD,REC-FA1D60BEAE9A18AD,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2005.04098"",""title_sha256:04e6b9bc4c5bb482""]"
WORK-DA45F3882A02CA02,REC-1BD39A11DBF6BC60,REC-1BD39A11DBF6BC60,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2006.08435"",""title_sha256:f38b79c59de1cd07""]"
WORK-33FCAA9884545EDC,REC-2591DFCD2FE56740,REC-2591DFCD2FE56740,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2007.08563"",""title_sha256:74642f5b500d14c5""]"
WORK-384B46A17791B640,REC-BAA08971107EB217,REC-BAA08971107EB217,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/access.2021.3096664"",""arxiv:2007.11434"",""title_sha256:4ca58fffc9027361""]"
WORK-7866FC6789A8D4E4,REC-45D346345BCBEE33,REC-45D346345BCBEE33,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2009.08605"",""title_sha256:eb9f1a4aa94c146a""]"
WORK-32FAC64A074CCB39,REC-E7364B5C13D3ACB6,REC-E7364B5C13D3ACB6,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2009.09736"",""title_sha256:23a0263379f3a7d1""]"
WORK-2B91BB71BA035749,REC-B8C88E3CD57FA457,REC-B8C88E3CD57FA457,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/tie.2018.2818644"",""arxiv:2010.07746"",""title_sha256:57ec99f38a40a4f4""]"
WORK-410A227A9629A06A,REC-B050DA93F1DA379D,REC-B050DA93F1DA379D,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/tgrs.2020.2967821"",""arxiv:2011.05670"",""title_sha256:411ed87d1b52a556""]"
WORK-0652D93DC13B8861,REC-2342F9BF3B1AB602,REC-2342F9BF3B1AB602,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2012.00581"",""title_sha256:63fb7cb2997bffe7""]"
WORK-61641A6E7ED9499E,REC-D0D2254368D3B08B,REC-D0D2254368D3B08B,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1016/j.micpro.2019.102919"",""arxiv:2012.09666"",""title_sha256:e7bdb19d19654d91""]"
WORK-E9C7F43DE8B4CDAA,REC-3DBEC0B586ABB7C0,REC-3DBEC0B586ABB7C0,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2101.05314"",""title_sha256:18fe229fd977f1a6""]"
WORK-1ED064754B5996EA,REC-3BF9C4C1B606866E,REC-3BF9C4C1B606866E,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1109/tim.2020.3026843"",""arxiv:2101.09927"",""title_sha256:2c2cb73f21d58683""]"
WORK-297FF14654635BE2,REC-969D3C59E6AFE5EC,REC-969D3C59E6AFE5EC,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""arxiv:2103.02800"",""title_sha256:9edd409f82d13af5""]"
WORK-B7705AD5A4D9B669,REC-3BFEDC35FEE6688E,REC-3BFEDC35FEE6688E,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1093/pasj/psab030"",""arxiv:2104.00252"",""title_sha256:61fbf44cabee1fe2""]"
WORK-03D94E125DD80AF1,REC-20E17694FEA9B59B,REC-20E17694FEA9B59B,True,unique,1.0,,[],peer-reviewed manifestation; latest version breaks ties,"[""doi:10.1145/3431920.3439477"",""arxiv:2104.06535"",""title_sha256:f239ee87e64abccb""]"
WORK-16BE8A0343541715,REC-D5344767957D09B6,REC-D5344767957D09B6,True,unique,1.0,,[],latest non-withdrawn preprint,"[""arxiv:2104.12339"",""title_sha256:93426d43eeebba41""]"
